datetime,open,high,low,close,Volume,VWAP
2022-01-20,1482.7,1495.8,1480.5,1494.0,8036,1484.8035340965653
2022-01-21,1493.1,1503.8,1490.9,1497.7,8490,1496.1426855123675
2022-01-24,1495.9,1495.9,1466.3,1468.7,9927,1483.8793089553742
2022-01-25,1468.5,1499.7,1465.2,1498.0,9863,1476.6852478961775
2022-01-26,1510.5,1524.9,1509.1,1519.3,9204,1517.3200890916992
2022-01-27,1513.2,1516.0,1499.1,1510.7,9486,1508.8383512544804
2022-01-28,1517.9,1534.2,1517.1,1529.0,10032,1526.6366925837322
2022-02-07,1543.7,1547.8,1530.0,1531.8,8599,1542.872938713804
2022-02-08,1532.4,1543.6,1527.8,1535.4,8765,1534.9748317170565
2022-02-09,1540.4,1555.3,1540.4,1544.7,8602,1549.6751336898396
2022-02-10,1543.6,1544.4,1528.6,1534.7,8560,1537.7709345794392
2022-02-11,1538.8,1545.6,1535.2,1542.0,8378,1539.150740033421
2022-02-14,1536.0,1536.0,1517.5,1517.7,9377,1527.0282819665138
2022-02-15,1511.5,1527.3,1511.0,1524.5,8048,1517.4727509940358
2022-02-16,1528.2,1532.3,1514.6,1521.2,8727,1522.0455826744587
2022-02-17,1522.3,1536.8,1521.3,1536.5,7953,1528.6901798063623
2022-02-18,1524.6,1527.8,1518.5,1524.7,7564,1523.5941433104176
2022-02-21,1523.4,1531.5,1521.3,1530.0,7463,1526.251654830497
2022-02-22,1518.0,1518.9,1501.4,1516.6,9057,1511.2782819918295
2022-02-23,1526.5,1534.9,1524.7,1529.6,7766,1530.3468065928407
2022-02-24,1519.5,1526.2,1503.0,1511.3,9304,1513.8233233018057
2022-02-25,1526.1,1529.8,1518.1,1518.4,6809,1525.173887501836
2022-02-28,1511.3,1518.5,1507.8,1514.8,8787,1512.7907249345624
2022-03-01,1518.0,1518.0,1512.3,1514.2,7325,1515.2770511945394
2022-03-02,1512.3,1513.0,1495.9,1497.5,9643,1505.2554184382454
2022-03-03,1508.7,1517.4,1503.0,1516.9,7730,1507.7969210866752
2022-03-04,1515.0,1517.4,1510.0,1514.4,7585,1514.4140013183915
2022-03-07,1496.2,1507.8,1496.0,1504.8,7722,1502.1320124320125
2022-03-08,1499.0,1499.3,1484.2,1485.7,8116,1494.3357072449483
2022-03-09,1493.8,1495.6,1486.2,1490.3,7909,1490.9878872170943
2022-03-10,1501.0,1501.9,1490.1,1491.0,7446,1498.0624227773303
2022-03-11,1486.6,1487.5,1471.3,1474.3,8180,1482.5621760391198
2022-03-14,1476.0,1476.0,1456.0,1465.5,9340,1465.5083725910063
2022-03-15,1461.5,1469.4,1458.0,1463.7,8539,1462.4912987469258
2022-03-16,1470.9,1474.8,1465.2,1471.4,7937,1469.517197933728
2022-03-17,1477.7,1478.8,1468.2,1470.9,7185,1474.778608211552
2022-03-18,1476.8,1483.4,1476.0,1479.2,6805,1479.6258927259366
2022-03-21,1479.9,1496.1,1479.5,1494.0,6722,1484.408479619161
2022-03-22,1498.9,1505.3,1494.1,1500.5,7696,1499.4950493762994
2022-03-23,1503.0,1510.2,1495.0,1497.8,8365,1503.1144769874477
2022-03-24,1495.4,1499.5,1491.0,1494.7,9302,1494.8819608686304
2022-03-25,1497.0,1497.0,1488.2,1493.0,8359,1492.6781313554252
2022-03-28,1490.2,1490.8,1475.5,1481.7,8683,1482.0910745134172
2022-03-29,1484.9,1493.5,1484.5,1492.3,7348,1489.6740881872618
2022-03-30,1489.5,1503.7,1486.2,1489.8,9745,1493.7475731144177
2022-03-31,1491.6,1499.0,1490.0,1495.8,7442,1495.5043805428647
2022-04-01,1493.1,1528.0,1492.2,1526.6,10100,1508.9043663366335
2022-04-04,1529.5,1537.3,1526.8,1530.1,8393,1531.693017991183
2022-04-05,1526.3,1532.7,1523.6,1525.7,8496,1527.555720338983
2022-04-06,1519.2,1550.2,1517.8,1542.3,9953,1534.7703606952678
2022-04-07,1543.1,1544.3,1529.9,1530.3,8820,1539.2198412698413
2022-04-08,1528.9,1535.2,1524.9,1525.5,8869,1529.7194497688579
2022-04-12,1524.2,1526.6,1507.6,1509.2,10855,1514.6828834638416
